voterId,name,dob,city,state
12bf52,Candace Hensley,13-02-2000,Hollowayside,Hollowayside
12bf53,Charles Reyes,14-02-2000,Hannahside,Hannahside
12bf54,Marco Ray,15-02-2000,Williamton,Williamton
12bf55,Don Johnson,16-02-2000,Morganshire,Morganshire
12bf56,Robert Jensen,17-02-2000,Kentfurt,Kentfurt
12bf57,Christian Farmer,18-02-2000,North Alexandriastad,North Alexandriastad
12bf58,Jeffrey Smith,19-02-2000,South Tanyaview,South Tanyaview
12bf59,Deborah King,20-02-2000,New Sarah,New Sarah
12bf60,Ryan Nichols,21-02-2000,Jefferytown,Jefferytown
12bf61,Shannon Martinez,22-02-2000,South Emily,South Emily
12bf62,Robert Daniel,23-02-2000,Maryfurt,Maryfurt
12bf63,Melissa Wilson,24-02-2000,South Joshuamouth,South Joshuamouth
12bf64,Megan Rivera,25-02-2000,Amandaview,Amandaview
12bf65,John Williams,26-02-2000,Tranland,Tranland
12bf66,Jay Dorsey,27-02-2000,Staffordshire,Staffordshire
12bf67,Scott Oneill,28-02-2000,Hunterview,Hunterview
12bf68,Katie Hernandez,29-02-2000,Smithshire,Smithshire
12bf69,Lisa Joyce,01-03-2000,Lake Chelseyton,Lake Chelseyton
12bf70,Stephanie Henderson,02-03-2000,Davidborough,Davidborough
12bf71,Teresa Williams,03-03-2000,Port Jadeville,Port Jadeville
12bf72,Douglas Reynolds,04-03-2000,North Karen,North Karen
12bf73,Kathryn Reed,05-03-2000,Lake Dominiquebury,Lake Dominiquebury
12bf74,Jason Berry,06-03-2000,Grahamtown,Grahamtown
12bf75,Dylan Fuller,07-03-2000,Jeremymouth,Jeremymouth
12bf76,Timothy Anderson,08-03-2000,East Kylechester,East Kylechester
12bf77,Kathryn Graham,09-03-2000,West Haroldside,West Haroldside
12bf78,Joseph Meza,10-03-2000,North Angela,North Angela
12bf79,Jerry Dominguez,11-03-2000,Davidfort,Davidfort
12bf80,Thomas Ramos,12-03-2000,Rachelstad,Rachelstad
12bf81,Shannon Woods,13-03-2000,Port Christopherfurt,Port Christopherfurt
12bf82,William Gamble,14-03-2000,Rodriguezview,Rodriguezview
12bf83,Katelyn Houston,15-03-2000,Aaronchester,Aaronchester
12bf84,Alyssa Martin,16-03-2000,West Lisachester,West Lisachester
12bf85,Stacey Peters,17-03-2000,Port April,Port April
12bf86,Eric Hernandez,18-03-2000,Andrewtown,Andrewtown
12bf87,Kimberly Adams,19-03-2000,North Anthony,North Anthony
12bf88,Jennifer Wilson,20-03-2000,Lake Katherinetown,Lake Katherinetown
12bf89,Drew Howard,21-03-2000,Foxville,Foxville
12bf90,Denise Peck,22-03-2000,Kentberg,Kentberg
12bf91,Scott Meyers,23-03-2000,Port Christopher,Port Christopher
12bf92,Jennifer Sanchez,24-03-2000,Lake Matthewberg,Lake Matthewberg
12bf93,Deborah Wang,25-03-2000,Lake Marcus,Lake Marcus
12bf94,Gina Kerr,26-03-2000,Penafort,Penafort
12bf95,Debbie Phelps,27-03-2000,Kennethton,Kennethton
12bf96,Wendy Martin,28-03-2000,New Steven,New Steven
12bf97,Christina Yu,29-03-2000,East Timothy,East Timothy
12bf98,Audrey Logan,30-03-2000,South Danaland,South Danaland
12bf99,David Burns,31-03-2000,North Jefferyborough,North Jefferyborough
12bf100,Janet Chapman,01-04-2000,New Jason,New Jason
12bf101,Michelle Jones,02-04-2000,South Jeffreymouth,South Jeffreymouth
12bf102,Marvin Proctor,03-04-2000,Garyton,Garyton
12bf103,Courtney Gonzales,04-04-2000,Lake Kevinfort,Lake Kevinfort
12bf104,Travis Villanueva,05-04-2000,West John,West John
12bf105,Brittany Green,06-04-2000,Lake Lisa,Lake Lisa
12bf106,Ashley Evans,07-04-2000,East Alexistown,East Alexistown
12bf107,Andrea Hale,08-04-2000,Brandonfort,Brandonfort
12bf108,Nicole Pratt,09-04-2000,Lake Stacy,Lake Stacy
